[2019-06-19 21:27:30.336613] INFO: do-macd-zq:  data risk => code=603101 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:32.481900] INFO: do-macd-zq:  data risk => code=603118 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:32.756728] INFO: do-macd-zq:  data risk => code=603129 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:34.915760] INFO: do-macd-zq:  data risk => code=603160 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:36.974498] INFO: do-macd-zq:  data risk => code=603183 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:54.621270] INFO: do-macd-zq:  data risk => code=603444 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:03.378820] INFO: do-macd-zq:  data risk => code=603600 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:08.512181] INFO: do-macd-zq:  data risk => code=603658 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:14.879527] INFO: do-macd-zq:  data risk => code=603730 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:20.446009] INFO: do-macd-zq:  data risk => code=603806 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:20.617836] INFO: do-macd-zq:  data risk => code=603817 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:25.141954] INFO: do-macd-zq:  data risk => code=603877 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': True, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:25.671418] INFO: do-macd-zq:  data risk => code=603882 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:27.153891] INFO: do-macd-zq:  data risk => code=603896 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:31.365226] INFO: do-macd-zq:  data risk => code=603967 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:31.612493] INFO: do-macd-zq:  data risk => code=603963 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:35.095366] INFO: do-macd-zq:  data risk => code=603989 , value= {'flg': True, 'DI_JIN': False, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:44.290014] INFO: do-macd-zq:  data risk => code=000028 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:28:55.869590] INFO: do-macd-zq:  data risk => code=000078 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
